#{"t_start": 1774518987.7821171, "env_id": "None"}
r,l,t
-80.83027,2,3.448351
-94.35363,5,4.585775
-90.07991,7,5.381386
-140.30618,8,5.783423
-181.64075,9,6.217702
-129.18558,9,6.217702
-224.92001,11,7.111991
-55.022915,11,7.112527
-230.75298,13,8.110912
-245.8469,25,12.999225
-197.19023,17,13.388344
-91.889404,32,15.518416
-156.08955,34,16.302753
-118.29268,5,17.490725
-202.92363,28,18.897954
-214.0791,16,19.234336
-97.14218,31,19.234336
-195.6594,13,22.016625
-381.28146,51,22.338976
-278.21967,52,22.663067
-220.55313,61,25.6075
-468.12198,62,25.917668
-365.70483,60,27.443708
-373.4564,78,31.047702
-529.4992,81,32.043419
-293.76132,82,32.416076
-615.93933,83,32.792638
-126.89901,20,34.606423
-142.422,5,34.999026
-129.08496,5,36.449213
-835.4202,93,36.782685
-507.44864,44,37.732551
-613.2044,57,38.732001
-262.60654,51,39.465107
-204.90256,51,39.78732
-1153.6462,102,39.78732
-500.61,96,40.487088
-138.92958,13,40.795127
-694.0223,107,41.441737
-521.86743,67,41.798443
-159.5078,15,43.798956
-717.582,114,43.798956
-588.0271,118,45.175103
-361.33023,26,46.402747
-224.72495,42,46.705513
-684.2776,124,47.011588
-703.4099,124,47.012583
-123.26371,14,48.3389
-276.99915,27,48.3389
-1193.8784,119,48.968511
-137.51474,25,49.843728
-373.67526,41,50.171761
-978.89,138,51.445951
-103.30188,15,51.748809
-21.845718,11,52.327593
-130.0765,16,53.348354
-638.39966,110,53.348354
-189.85228,21,53.348354
-1081.6714,146,53.974037
-157.58832,27,56.899567
-695.5535,99,58.405355
-138.14409,14,58.405355
-107.10385,17,58.722161
-455.2866,85,59.371557
-1024.6912,156,60.032143
-306.1032,54,61.017848
-474.4297,88,61.619159
-527.7466,69,62.5069
-1026.9646,177,63.966356
-90.44195,11,64.716117
-1603.1261,183,65.96709
-568.80676,145,67.204529
-1224.9109,195,69.73924
-411.53427,45,73.864811
-204.32608,20,76.082724
-417.38577,83,76.670583
-1626.3895,218,77.016198
-467.52124,77,77.93273
-185.94138,5,79.533243
-553.9427,72,79.84929
-307.83105,45,80.166028
-440.44083,52,80.472645
-1384.2518,240,84.733544
-898.456,123,85.165611
-1111.5398,139,86.601555
-59.400654,4,87.039802
-321.5809,73,87.445037
-495.4996,73,90.154737
-899.28754,139,95.00036
-717.8589,176,95.458062
-165.92982,20,96.399655
-1703.7893,267,96.85244
-270.95288,34,102.370381
-88.04793,2,103.380671
-320.8641,63,103.842683
-857.16437,123,105.397887
-2125.7285,284,105.397887
-106.71989,22,107.902503
-509.3204,65,109.410365
-562.1862,46,112.005191
-1055.6605,155,112.429599
-1314.1635,200,114.013585
-2271.0823,298,114.488034
-83.844765,5,116.316359
-1817.4384,284,117.376355
-450.04663,32,118.76129
-1791.6382,312,118.76129
-301.65814,74,119.813696
-958.3775,90,121.562499
-1542.2708,185,123.957965
-836.6703,163,123.957965
-137.81828,16,125.091929
-883.5476,160,127.237155
-308.6126,28,127.677804
-131.19566,20,128.11202
-152.5847,21,128.739122
-2614.8572,336,131.043661
-190.00401,17,132.900743
-1370.259,214,135.191412
-312.19385,62,136.953487
-239.46185,21,137.356314
-403.96527,123,137.356314
-682.6189,88,138.074531
-649.4449,92,138.832616
-89.72859,6,139.650874
-189.72859,22,140.672822
-1830.7205,361,141.12396
-2819.1895,361,141.12396
-419.2035,80,141.12396
-2080.1743,361,141.12396
-372.38046,64,141.583617
-226.8779,7,141.991287
-165.18918,18,145.148324
-411.7841,78,148.272327
-862.36523,114,148.272327
-329.82135,47,148.272327
-1417.166,277,149.134267
-711.3061,97,149.913762
-1578.4049,240,149.913762
